,State,County,Number of Farms,Land in Farms,Average Size of Farms,Farm Size 1-9 acres,Farm Size 10-49 acres,Farm Size 50-179 acres,Farm Size 180-499,Farm Size 500-999,Farm Size 1000+,Pastureland,Broilers and other meat-type chickens,Cattle and calves,Hogs and pigs,Sheep and lambs,Pastureland Acres,Chicken CH4 per Acre (Kg/Year),Cow CH4 per Acre (Kg/Year),Sheep CH4 per Acre (Kg/Year),Pig CH4 per Acre (Kg/Year),Chicken CO2 per Acre (Kg/Year),Cow CO2 per Acre (Kg/Year),Sheep CO2 per Acre (Kg/Year),Pig CO2 per Acre (Kg/Year),Chicken N2O per Acre (Kg/Year),Cow N2O per Acre (Kg/Year),Sheep N2O per Acre (Kg/Year),Pig N2O per Acre (Kg/Year)
46,Florida,Hendry County,436,433113,993,96,126,80,43,44,47,36,36,57367,875,456,155920.68,2.3088662773918124e-05,25.570735709977665,0.001462281975681481,0.06734193309059452,0.002233135463493361,7505.654798324379,1.7547383708177775,3.5747342815590595,3.3709447649920466e-06,64.4603294444329,0.17079453475959702,1.7001032191496344
47,Oklahoma,Kay County,864,497696,576,44,200,214,167,79,160,27,99,38175,249,1556,134377.92,7.367281767718981e-05,19.744036073783548,0.005789641631601381,0.022235795880751835,0.007125634925737799,5795.371739642941,6.947569957921658,1.18035016466991,1.0756231380869713e-05,49.77201611693349,0.6762301425710414,0.5613611968394806
50,Alabama,Covington County,907,161414,178,45,268,392,148,27,27,20,3436482,27322,211,601,32282.8,10.644931666398206,58.82014571226784,0.009308362347751745,0.07843185845093982,1029.5777907740346,17265.193849356314,11.170034817302094,4.163424486104056,1.5541600232941382,148.27754717682478,1.0872167222174038,1.980077626476018
51,Oklahoma,Jackson County,634,510761,806,50,78,165,118,67,156,32,48,31135,75,58,163443.52,2.936794312799921e-05,13.239328790765153,0.0001774313230649952,0.00550648933649985,0.002840467459340083,3886.0763644835847,0.21291758767799424,0.2923028089458671,4.287719696687884e-06,33.37453818909432,0.020723978533991435,0.1390159120410525
53,Colorado,Douglas County,1223,201574,165,180,644,241,98,23,37,78,794,8005,95,673,157227.72,0.0005050000089042823,3.538482272718831,0.002140207846300894,0.007250629850766773,0.04884360086122218,1038.6336455174699,2.568249415561073,0.3848876012448695,7.373000130002522e-05,8.92003013209121,0.24997627644794446,0.18304819277414947
55,Alabama,Bullock County,255,115302,452,8,39,81,71,32,24,26,416000,10424,19,48,29978.52,1.3876602313923436,24.166236358566067,0.0008005732104186598,0.007605445498977267,134.21449758026748,7093.398873593493,0.9606878525023917,0.40372239857070996,0.20259839378328218,60.91977856144999,0.09350695097689946,0.19200580949293028
56,Alabama,Barbour County,498,152748,307,13,88,161,155,55,26,21,3895996,22548,137,292,32077.08,12.145731469323268,48.85376100318358,0.004551536486488171,0.051251547834154476,1174.7351477129464,14339.808985107122,5.461843783785806,2.7206029975297,1.7732767945211971,123.15365363680233,0.5316194616218184,1.2938880346964248
57,Florida,Madison County,669,167677,251,38,220,220,106,54,31,27,1336399,29779,542,232,45272.79,2.9518812514095107,45.714887463308536,0.0025622454458848237,0.14366245155202495,285.50595463632794,13418.4705647697,3.0746945350617887,7.626081803219991,0.4309746627057886,115.24098249743388,0.2992702680793474,3.6268783081404967
59,Colorado,Conejos County,524,266278,508,44,131,131,84,59,75,41,159,35855,411,10867,109173.98,0.00014563909825399788,22.82524187539925,0.0497691849284967,0.04517559953388161,0.014086213583126676,6699.7832267358945,59.72302191419604,2.3980714085902153,2.1263308345083695e-05,57.53931477079062,5.813040799648415,1.1404956565657862
61,Arkansas,Fulton County,795,224054,282,16,137,289,238,82,33,56,714,43564,181,1417,125470.24,0.0005690592446463799,24.13080583889853,0.005646757350587677,0.01731087786235206,0.05503941014219786,7082.999123935683,6.776108820705212,0.9189190998598551,8.308264971837146e-05,60.8304630643888,0.6595412585486407,0.4370275373666297
62,Idaho,Clearwater County,312,56556,181,38,120,80,52,10,12,18,60,2911,42,103,10180.08,0.0005893863309522126,19.873566808905235,0.005058899340673158,0.04950845179998586,0.057005445929698,5833.392271966429,6.070679208807789,2.628073649715916,8.605040431902305e-05,50.098545394535215,0.5908794429906248,1.2498821227338095
66,Arkansas,Lawrence County,535,269678,504,28,102,171,116,51,67,13,2524324,15336,42,123,35058.14,7.200393403643206,30.402411536949764,0.001754228832448042,0.014376119212257125,696.4220500003709,8923.873314442808,2.1050745989376503,0.7631323281839824,1.051257436931908,76.64032375933235,0.2048939276299313,0.36293710961277464
69,Georgia,Jenkins County,210,79313,378,14,60,59,33,20,24,5,90,3621,100,182,3965.65,0.0022694892388385257,63.45983634460933,0.022947057859367317,0.3025985651784701,0.2195049991804622,18627.059876691084,27.53646943124078,16.06294050155712,0.0003313454288704248,159.97357305864105,2.680216357974103,7.63935294340146
70,Arkansas,Howard County,586,150126,256,39,124,222,145,45,11,42,8443340,44029,22683,404,63052.92,13.39087864606429,48.53090863991707,0.0032036581335170523,4.316945194607958,1295.1657826473383,14245.04368711235,3.8443897602204626,229.15784074710578,1.9550682823253867,122.33978695990606,0.3741872699947917,108.98487889220674
73,Arkansas,Independence County,890,267507,301,27,183,337,201,100,42,36,6323046,41937,56,319,96302.52,6.56581572320226,30.265267201730545,0.0016562391098384548,0.006978010544272361,635.0456967481225,8883.61799878134,1.9874869318061459,0.37041605972512454,0.9586090955875298,76.29460163659267,0.19344872802913152,0.17616569119894263
75,Idaho,Custer County,267,147837,554,38,55,57,47,38,32,57,12,31167,47,741,84267.09,1.424043478895498e-05,25.70524863265125,0.004396734241089849,0.006693004350808839,0.0013773348527877254,7545.137728145116,5.276081089307819,0.3552869809554358,2.079103479187427e-06,64.79941813583453,0.5135385593592944,0.1689704723397948
76,Idaho,Butte County,189,130366,690,16,30,41,37,14,51,33,45,9138,108,848,43020.78,0.00010460061393587006,14.76242411225459,0.009855702290846424,0.030124976813530577,0.010116971379877352,4333.143192661779,11.826842749015709,1.5991341858515815,1.527168963463703e-05,37.214053301683506,1.1511460275708625,0.760530143804924
78,Alabama,Butler County,420,84382,201,13,113,190,86,8,10,17,6062245,9948,1605,18,14344.94,42.26051137195415,48.1972040315261,0.0006273989295180043,1.342633709168529,4087.4366598954057,14147.092981915574,0.7528787154216051,71.27147272836274,6.170034660305308,121.4985632564514,0.0732801949677029,33.89590684938382
79,Illinois,Macoupin County,1169,420688,360,110,261,334,217,131,116,4,101,20321,40756,514,16827.52,0.0006002072795040506,83.92855869432928,0.01527260107252881,29.06381926748564,0.05805204807363177,24635.145285817518,18.327121287034572,1542.804406115696,8.763026280759138e-05,211.57242421937397,1.7838398052713649,733.7403372570645
81,Illinois,Lee County,832,392102,471,126,153,165,146,121,121,1,366,11076,59763,399,3921.02,0.009334305869391128,196.3218754303727,0.050879618058566396,182.90036776144981,0.9028140636875099,57625.41379538998,61.05554167027967,9708.961188670295,0.0013628086569311049,494.9006125957021,5.942739389240556,4617.472201110936
88,Tennessee,Humphreys County,657,115465,176,40,193,256,123,30,15,25,170,16946,349,103,28866.25,0.0005889230502749751,40.80013857012948,0.0017840904170094835,0.14508292556185856,0.05696063742259559,11975.868011951674,2.14090850041138,7.701485298575326,8.598276534014637e-05,102.85157233793791,0.20838176070670766,3.6627393582470873
89,Tennessee,Johnson County,517,46603,90,53,222,190,42,8,2,30,45,8565,334,467,13980.9,0.0003218676909211853,42.57719460120593,0.016701356851132616,0.28667682338046907,0.031131043065897045,12497.478703087785,20.04162822135914,15.217761374446567,4.699268287449306e-05,107.33128768534215,1.9507184802122897,7.237395303592758
93,Illinois,Jackson County,772,221621,287,66,202,290,119,42,53,5,157,12161,5590,1135,11081.05,0.0014168332423371433,76.27341271810884,0.05121355828193177,6.05357795515768,0.1370361111988485,22388.167186322597,61.45626993831812,321.34409645295347,0.00020685765338122292,192.27484760018228,5.981743607329631,152.8276201262516
94,South Carolina,Lancaster County,534,63084,118,59,200,191,63,10,11,29,303220,7185,143,376,18294.36,1.6574507115854284,27.29570752953369,0.010276391193788686,0.09379940047096481,160.30863282454263,8011.977461906292,12.331669432546423,4.979184841667049,0.2419878038914726,68.80874761401874,1.2002824914345187,2.368044031056566
95,Georgia,Morgan County,513,88251,172,42,152,184,94,32,9,32,2112138,25065,161,253,28240.32,7.479157459972126,61.68547311078628,0.004479410998175658,0.06841282251759187,723.384109528504,18106.239589353096,5.37529319781079,3.6315806619755016,1.0919569891559302,155.50064588503247,0.5231952045869169,1.7271387151420379
97,Oklahoma,Okfuskee County,934,347309,372,34,132,312,297,93,66,56,245,46990,5347,454,194493.04,0.00012596851794799443,16.791372071720406,0.001167136880579377,0.3299038361475557,0.01218367505593002,4928.69050738268,1.4005642566952523,17.51239530216608,1.8391403620407188e-05,42.32875376928655,0.1363215876516712,8.3286972634085
99,Florida,Volusia County,1575,114284,73,576,733,165,59,18,24,39,958,14307,550,751,44570.76,0.002149391215227203,22.309166368264755,0.008424805859267376,0.14807914426408703,0.20788911833677504,6548.3020706849065,10.109767031120851,7.860534574685286,0.0003138111174231716,56.23835895999978,0.9840173243624295,3.738381396233764
100,Florida,Washington County,437,45248,104,53,208,114,41,17,4,18,242,5813,182,346,8144.64,0.0029712792707842217,49.603604333647645,0.02124096338205249,0.26815181518151815,0.2873821310702499,14559.906883545496,25.48915605846299,14.23439218921892,0.00043380677353449634,125.04390617633192,2.480944523023731,6.769716034103411
101,Oklahoma,Osage County,1395,1101177,789,116,325,375,287,118,174,80,439,133575,293,196,880941.6,4.9833042281122846e-05,10.538113423182649,0.00011124460463667513,0.003991183978597447,0.0048198518494302015,3093.201637883828,0.13349352556401015,0.21186534953054778,7.2756241730439345e-06,26.565143478296406,0.012993369821563653,0.10076076552634138
103,Oregon,Hood River County,578,28451,49,268,168,100,36,3,3,8,451,898,39,234,2276.08,0.01981476925239886,27.420389441495907,0.051404168570524766,0.20561667428209907,1.916484482092018,8048.574742539806,61.68500228462972,10.91481845980809,0.002892956310850234,69.1230536712242,6.004006889037292,5.190964289480159
105,Arkansas,Ouachita County,205,28318,138,20,68,66,32,18,1,30,503424,3834,125,226,8495.4,5.925842220495798,31.36556253972738,0.013301316006309297,0.1765661416766721,573.1474595663536,9206.582385761707,15.961579207571157,9.372719354003344,0.8651729641923865,79.06829578360053,1.553593709536926,4.4575593850789845
107,Georgia,Barrow County,288,22346,78,35,132,89,30,1,1,41,1221369,8123,34,111,9161.86,13.331015754442875,61.61942007408975,0.006057721903630922,0.044532442102367856,1289.375843769715,18086.851359876706,7.269266284357106,2.3639304682673603,1.9463283001486598,155.33413520835288,0.7075419183440917,1.124258611242695
108,Oregon,Josephine County,746,27866,37,351,283,77,31,2,2,28,192,5373,406,1490,7802.48,0.002460756067301679,47.85959079677231,0.09548246198644535,0.624416852077801,0.23800432682941836,14047.994996462663,114.57895438373441,33.146127897796596,0.0003592703858260451,120.64748644020875,11.152351560016816,15.763923778080814
110,Illinois,Kane County,605,170254,281,157,164,92,84,60,48,2,165,4631,51093,800,3405.08,0.004845701128901524,94.52186145406276,0.11747154251882481,180.0592056574295,0.46867621318735536,27744.546383638564,140.9658510225898,9558.142833648548,0.0007074723648196225,238.27669247124888,13.72067616619874,4545.744696159854
111,South Carolina,Saluda County,574,119495,208,42,159,222,89,41,21,25,4770184,22206,362,75,29873.75,15.96781120548977,51.661308004519015,0.0012552826478095319,0.14541194192225615,1544.4066997949706,15163.894723628604,1.506339177371438,7.71895058370643,2.3313004360015066,130.23109586175153,0.1466170132641533,3.6710456504456253
112,Pennsylvania,Indiana County,951,148288,156,70,281,417,129,39,15,8,1296,23060,482,1718,11863.04,0.010924687095381958,135.09774897496763,0.07240977017695295,0.4875647388864911,1.0566357358653433,39654.59106603366,86.89172421234355,25.88156155589124,0.0015950043159257661,340.56295856711256,8.457461156668105,12.30897813713854
115,Tennessee,Overton County,1004,134777,134,78,379,350,150,37,10,36,359,34987,1320,501,48519.72,0.0007399053415807016,50.11563339607071,0.005162849249748349,0.32646519806791957,0.07156364463768547,14710.200306184784,6.19541909969802,17.329860930772064,0.00010802617987078244,126.33466145311637,0.6030207923706072,8.241885979556352
116,Florida,Martin County,594,153732,259,300,169,36,37,17,35,40,4053,29543,145,294,61492.8,0.006591015533525876,33.38990093149116,0.002390523768636328,0.028295995628756537,0.6374830224026228,9800.77667629381,2.8686285223635934,1.502045767959826,0.000962288267894778,84.17137616111154,0.2792131761767231,0.714355989644316
117,Florida,Okaloosa County,481,46588,97,58,252,120,41,5,5,16,60406,3354,662,349,7454.08,0.8103749892676226,31.27186721902636,0.02340999828281961,1.065725079419593,78.37946896196445,9179.080449901263,28.091997939383532,56.5722396325234,0.11831474843307291,78.8321026873873,2.734287799433331,26.90511773418047
118,Oklahoma,Murray County,473,209467,443,28,136,147,83,35,44,80,58,26631,162,343,167573.6,3.461165720614703e-05,11.045024395250802,0.0010234308984231407,0.011600872691163763,0.0033476394849785407,3241.992772131171,1.2281170781077688,0.6158129920226098,5.053301952097466e-06,27.842996748891228,0.11953672893582283,0.29287369848233846
120,Pennsylvania,Tioga County,1056,212797,202,42,212,415,284,85,18,11,1988,30464,74940,1337,23407.67,0.008492942697842204,90.45103592113185,0.028559015057884874,38.41817660621498,0.8214374177352979,26549.656586922152,34.27081806946185,2039.3648748465782,0.001239969633884962,228.0146977465079,3.3356929587609536,969.8988835710688
126,Arkansas,Marion County,587,179306,305,36,113,199,136,65,38,58,216206,42280,132,717,103997.48,0.20789542208138123,28.25510771991783,0.003447198912896736,0.01523113829296633,20.10764522371119,8293.585575342788,4.1366386954760825,0.8085195910516294,0.03035273162388166,71.22726435294393,0.40263283302633873,0.3845227788211791
127,Georgia,McDuffie County,269,43669,162,32,94,74,51,10,8,23,114,6831,28,355,10043.87,0.0011350206643455161,47.268084911493276,0.01767247087029203,0.03345324063334153,0.10977919865549832,13874.373125100185,21.206965044350433,1.7758095236198794,0.00016571301699444538,119.15638095674275,2.0641445976501087,0.8445549374892345
128,Alaska,Fairbanks Area,274,102005,372,89,47,57,36,23,22,8,396,1572,681,189,8160.4,0.004852703298857899,13.388314298318711,0.011580314690456351,1.00142149894613,0.46935346306553605,3929.807362384197,13.89637762854762,53.15879123572374,0.0007084946816332534,33.75011028871133,1.3525807558453018,25.281720258810847
129,Arkansas,Nevada County,355,77557,218,8,86,140,84,26,11,43,2027426,20144,146,85,33349.51,6.07932770226609,41.97986717046217,0.001274381542637358,0.052534505004721205,587.9925753631762,12322.148061545731,1.5292578511648296,2.788706640667284,0.8875818445308492,105.82550688151039,0.14884776418004342,1.3262773575983573
130,California,Humboldt County,849,621043,731,183,213,173,117,39,124,67,1269,70894,370,5379,416098.81,0.0003049756378779358,11.84125712832488,0.006463608968264052,0.01067054241275047,0.029497243695553947,3475.707128314066,7.756330761916863,0.5664279597435041,4.452644313017863e-05,29.850190631403148,0.7549495274932413,0.2693867353285629
131,Pennsylvania,Schuylkill County,685,96886,141,86,219,223,116,34,7,4,1169687,13189,10395,413,3875.44,30.182043845344015,236.52423982825175,0.05328427223747497,32.18731292446793,2919.2072807216728,69425.8200359185,63.941126684969966,1708.6098610738393,4.4065784014202265,596.2452779555354,6.223602997337077,812.5955375389633
133,California,Los Angeles County,1035,57809,56,722,208,61,19,15,10,32,250,6889,145,857,18498.88,0.001351433167845837,25.881864199346122,0.023163564496877648,0.09405974848207026,0.13071061599404937,7596.978844124616,27.796277396253178,4.99300498192323,0.0001973092425054922,65.24464183777611,2.7055043332353095,2.374616733553599
134,Tennessee,Dickson County,1225,140144,114,60,491,438,196,37,3,27,333,20386,307,672,37838.88,0.0008800471895574078,37.44368226543703,0.008879755426164834,0.09736017556545015,0.08511816417399248,10990.663571437633,10.655706511397801,5.168202652932646,0.00012848688967538152,94.39040478999378,1.0371554337760525,2.4579387656294265
135,Tennessee,Grainger County,923,87117,94,61,369,371,111,8,3,38,966,22385,98,1236,33104.46,0.002918035817530327,46.995404848772644,0.018668179453765445,0.0355239143003692,0.2822324242715332,13794.334660646935,22.401815344518536,1.8857277841112645,0.0004260332293594277,118.46899179143837,2.1804433601998037,0.8968308197747372
136,Florida,Orange County,622,109361,176,299,222,47,26,16,12,53,4895,14731,375,244,57961.33,0.008445285848340608,17.66357845825829,0.0021048516312513876,0.07763797000517414,0.8168280472515037,5184.705043862865,2.525821957501665,4.121282241107993,0.0012330117338577291,44.52746684729284,0.2458466705301621,1.9600352510889587
137,Florida,Manatee County,753,192630,256,175,324,125,58,18,53,44,202,39430,255,173,84757.2,0.00023832783527535128,32.332179449061556,0.0010205622649167268,0.036103127521909646,0.023051068227831973,9490.308787925982,1.2246747179000723,1.9164743526213703,3.4795863950201285e-05,81.50500488454077,0.1192016725422737,0.9114535402302104
138,Oklahoma,McCurtain County,1479,342149,231,92,422,552,274,95,44,42,6851254,72969,398,234,143702.58,4.767662487340172,35.290566808195095,0.0008141816242965158,0.03323531143282188,461.12831577554147,10358.669969599712,0.977017949155819,1.7642411152256279,0.6960787231516652,88.96269503303282,0.09509641371783303,0.839053133214449
139,Pennsylvania,Lawrence County,587,82125,140,46,177,243,90,21,10,13,10000,11608,1046,1690,10676.25,0.09366584709050463,75.56548413534715,0.0791476407914764,1.175693712680014,9.059360730593607,22180.372321742183,94.9771689497717,62.40974124809741,0.013675213675213675,190.49025641025642,9.244444444444444,29.681367521367516
140,Pennsylvania,Juniata County,670,85640,128,106,188,231,124,13,8,9,1702244,21624,24222,1437,7707.6,22.08526649021745,194.98520940370543,0.09321967927759614,37.71134983652499,2136.0869749338317,57233.068659504905,111.86361513311536,2001.8441538222012,3.2244489075717477,491.5310602522186,10.888058539623229,952.054452747937
141,Tennessee,Pickett County,287,34535,120,29,81,116,55,3,3,43,745600,12821,36,295,14850.05,5.020858515627894,60.00380470099427,0.0099326264894731,0.02909081114205003,485.6174356315299,17612.62756691055,11.91915178736772,1.544237224790489,0.7330453432816725,151.2613896922906,1.160130773970458,0.7344217696236712
142,Tennessee,Monroe County,838,108187,129,68,356,276,93,23,22,30,55,34930,70,1091,32456.1,0.00016945967013904937,74.79749569418384,0.01680731819288208,0.025881113257600268,0.016390139295848857,21954.948376422308,20.168781831458492,1.3738557620909475,2.474111184030121e-05,188.55426252692095,1.9630947649286268,0.6533902717825
144,South Carolina,Sumter County,524,167672,320,119,173,108,54,32,38,3,1173165,4223,613,54,5030.16,23.322617968414523,58.347746393752885,0.0053676225010735245,1.462378930292476,2255.763609905053,17126.53275442531,6.44114700128823,77.62794821635893,3.4051022233885204,147.08669306741734,0.6269383081253878,36.91897474434212
145,South Carolina,York County,1000,120164,120,150,344,374,87,30,15,27,7696,16566,322,750,32444.28,0.023720668173249648,35.48659424712153,0.011558277761133858,0.11909649405072327,2.2942630257167056,10416.208958867326,13.86993331336063,6.322038892525894,0.0034632175532944482,89.45685341144879,1.3500068425004346,3.0066902393888846
